drive_id,pi_set,driving_model,wall_date,order,seg_t,weave_path,weave_steer,hunt_steer,centering_abs,centering_signed,spd_mph,elig_s,steerRatio,angleOffsetAvg,angleOffset,stiffness,cal_yaw,cal_pitch,cal_roll,int_abs,int_railed_frac
op_7f,unknown/manual,OPM7,1764094631.2689874,6,765.0,2.7986827351457313,1.0087274380226368,0.21017739214750775,0.0987526997923851,0.03868645802140236,45.168952543869025,28.28,16.69610023498535,0.007956620305776596,-0.1587013602256775,0.9957349300384521,-3.0436935424804688,2.477822780609131,-0.0174361914396286,,
op_7f,unknown/manual,OPM7,1764094631.2689874,6,855.0,1.0729085057010652,0.4943252591316011,0.14071646289728423,0.13189935684204102,-0.005311601795256138,52.01403894870759,31.94,16.69832992553711,-0.02626793086528778,-0.06206805631518364,0.995640754699707,-3.0538480281829834,2.478595733642578,-0.01787569932639599,,
b4,weak,CD210,1764094631.741736,8,135.0,3.82256306686324,1.0859185138023453,0.11596748324900094,0.06690780818462372,-0.04775416478514671,59.61050991899491,25.12,16.557355880737305,-0.3882758319377899,0.7070496082305908,1.0000200271606445,-2.8976948261260986,2.4704155921936035,-0.011042263358831406,0.09474914643638847,0.0015923566878980893
b4,weak,CD210,1764094631.741736,8,180.0,1.2476420783733966,0.5892920633044685,0.11387347882525395,0.14776283502578735,-0.1443946212530136,60.59134501415254,45.0,16.559066772460938,-0.2612818479537964,0.7595075368881226,1.0000005960464478,-2.8996496200561523,2.473602294921875,-0.011126521974802017,0.20880362761086327,0.404
b4,weak,CD210,1764094631.741736,8,225.0,0.8751355300748613,0.45724237294026215,0.1165065660546539,0.08291201293468475,-0.05774097144603729,61.02087463085175,37.78,16.56351089477539,-0.05504149943590164,0.7813884019851685,0.9999411106109619,-2.9000747203826904,2.4813406467437744,-0.011144803836941719,0.17231517819707096,0.1455796717840127
b4,weak,CD210,1764094631.741736,8,270.0,1.7326993976792229,0.7849325965751226,0.1727678936908235,0.15988674759864807,-0.049676474183797836,60.96856368177414,45.0,16.57231330871582,0.21051008999347687,0.7256208658218384,0.9997961521148682,-2.8984415531158447,2.486280918121338,-0.011073790490627289,0.20232833514218582,0.31333333333333335
b4,weak,CD210,1764094631.741736,8,315.0,1.1743327799945638,0.5585134152526817,0.08738697934313017,0.07194727659225464,-0.05051115155220032,60.796422451686865,40.24,16.579744338989258,0.3332282304763794,0.7053548097610474,0.999656081199646,-2.8998935222625732,2.48728346824646,-0.011136546730995178,0.2504624489785034,0.5999005964214712
b4,weak,CD210,1764094631.741736,8,945.0,1.8991619373736428,0.8169364232771736,0.1907373012975189,0.10806142538785934,-0.06125054135918617,49.61252457708359,45.0,16.592975616455078,0.6499090194702148,0.5879544019699097,0.9998829364776611,-2.914633274078369,2.48079514503479,-0.0117723997682333,0.2159784604881137,0.4888888888888889
b4,weak,CD210,1764094631.741736,8,2025.0,3.0063694763497675,1.1257094815381723,0.16994277875982755,0.10855349153280258,0.008892240934073925,45.75011799354554,26.14,16.619585037231445,0.517279326915741,0.2762036621570587,0.9480082392692566,-2.967529058456421,2.497241973876953,-0.01406280230730772,0.15478405350128815,0.001530221882172915
b4,weak,CD210,1764094631.741736,8,2115.0,5.2673602515496185,1.898378195571384,0.35460290779500503,0.1635192483663559,-0.07378830760717392,33.81523448287964,31.58,16.62143898010254,0.4048748016357422,0.4356819987297058,0.947424590587616,-2.957277297973633,2.4885263442993164,-0.013616103678941727,0.07698581999886883,0.0
