setting,subset,metric,comparison,n_strata,a_n_windows,b_n_windows,weighted_mean_diff,weighted_median_diff,stratum_boot_ci_low,stratum_boot_ci_high,share_strata_b_less_than_a
broad_band,gps_speed_curve_matched,steer_rms_deg,C-minus-A,4,4,4,-0.02128458570820585,-0.18205484381883585,-0.37043010561866657,0.33936219926901134,0.5
broad_band,gps_speed_curve_matched,actual_curv_rms_1pm,C-minus-A,4,4,4,-0.03997999247010253,-0.4110118755841241,-0.9218975234900016,0.8692369943002664,0.5
broad_band,gps_speed_curve_matched,lat_accel_rms_mps2,C-minus-A,4,4,4,-0.008921197330256078,-0.027765572598400567,-0.06306881344101781,0.04573353005724838,0.5
broad_band,gps_speed_curve_matched,cmd_curv_rms_1pm,C-minus-A,4,4,4,0.8785203219541093,-0.08390205949404073,-0.2504677876397826,2.803215477922027,0.5
broad_band,gps_speed_curve_matched,desired_curv_rms_1pm,C-minus-A,4,4,4,0.8786075247495558,-0.08385225008342734,-0.2525319104019032,2.803560433321355,0.5
broad_band,speed_curve_matched,steer_rms_deg,C-minus-B,4,10,8,-0.1923783551182391,-0.31881556004915385,-0.33554706960218433,0.07521645794809464,0.75
broad_band,speed_curve_matched,actual_curv_rms_1pm,C-minus-B,4,10,8,-0.46295747281899063,-0.7524764124748126,-0.8184389567892422,0.13762679858476884,0.75
broad_band,speed_curve_matched,lat_accel_rms_mps2,C-minus-B,4,10,8,-0.034520992028486616,-0.061897750683695456,-0.06324222457115254,0.010350883124526089,0.75
broad_band,speed_curve_matched,cmd_curv_rms_1pm,C-minus-B,4,10,8,-0.49427526446961956,-0.7900451576729031,-0.8121985105679232,0.14903434212752092,0.75
broad_band,speed_curve_matched,desired_curv_rms_1pm,C-minus-B,4,10,8,-0.49426027063065275,-0.7900372434572708,-0.812142523548983,0.14902522418387795,0.75
broad_band,gps_speed_curve_matched,steer_rms_deg,C-minus-B,3,3,3,-0.09882719723426893,-0.10589629843262952,-0.1151773368265459,-0.08468899483754777,1.0
broad_band,gps_speed_curve_matched,actual_curv_rms_1pm,C-minus-B,3,3,3,-0.19455464223571584,-0.2199903772929614,-0.2218154637489711,-0.14368317212122472,1.0
broad_band,gps_speed_curve_matched,lat_accel_rms_mps2,C-minus-B,3,3,3,-0.011749959985898709,-0.013405081885400447,-0.013775774863529502,-0.008439716186895235,1.0
broad_band,gps_speed_curve_matched,cmd_curv_rms_1pm,C-minus-B,3,3,3,-0.25938411966909175,-0.3446425344211338,-0.3488672086589733,-0.08886729016500772,1.0
broad_band,gps_speed_curve_matched,desired_curv_rms_1pm,C-minus-B,3,3,3,-0.25944371337358124,-0.3447203803938257,-0.34887302347034793,-0.0888903793330923,1.0
loose_curve,speed_curve_matched,steer_rms_deg,B-minus-A,3,14,8,0.37439054306818975,0.15518246766492738,0.15518246766492738,0.7620285672496623,0.0
